Country,Year,Month,Date,Breakdown_Type,Breakdown_Category,Percentage
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),2.38
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),73.81
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),-60.55
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),87.5
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),-21.49
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),80.95
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),35.71
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),11.9
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),26.19
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),16.67
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),2.38
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),5.45
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),-40.56
Afghanistan,2020,06,2020-06,Firm Size,Size: Large (100+),50.0
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),1.43
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),75.71
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),-69.11
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),92.65
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),-31.37
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),22.82
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),69.29
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),42.14
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),9.29
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),20.0
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),17.14
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),1.43
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),2.99
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),-47.47
Afghanistan,2020,06,2020-06,Firm Size,Size: Medium (20-99),49.29
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),1.96
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),73.04
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),-75.21
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),93.33
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),-28.1
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),31.74
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),67.16
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),34.8
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),4.41
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),13.73
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),16.18
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),1.47
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),0.72
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),-52.39
Afghanistan,2020,06,2020-06,Firm Size,Size: Small (5-19),50.49
Afghanistan,2020,06,2020-06,National Average,National Average,1.81
Afghanistan,2020,06,2020-06,National Average,National Average,0.7
Afghanistan,2020,06,2020-06,National Average,National Average,74.09
Afghanistan,2020,06,2020-06,National Average,National Average,64.71
Afghanistan,2020,06,2020-06,National Average,National Average,67.61
Afghanistan,2020,06,2020-06,National Average,National Average,-71.39
Afghanistan,2020,06,2020-06,National Average,National Average,-66.25
Afghanistan,2020,06,2020-06,National Average,National Average,-69.5
Afghanistan,2020,06,2020-06,National Average,National Average,92.45
Afghanistan,2020,06,2020-06,National Average,National Average,87.5
Afghanistan,2020,06,2020-06,National Average,National Average,91.04
Afghanistan,2020,06,2020-06,National Average,National Average,-28.53
Afghanistan,2020,06,2020-06,National Average,National Average,-17.36
Afghanistan,2020,06,2020-06,National Average,National Average,-24.99
Afghanistan,2020,06,2020-06,National Average,National Average,29.31
Afghanistan,2020,06,2020-06,National Average,National Average,24.53
Afghanistan,2020,06,2020-06,National Average,National Average,69.43
Afghanistan,2020,06,2020-06,National Average,National Average,47.06
Afghanistan,2020,06,2020-06,National Average,National Average,64.79
Afghanistan,2020,06,2020-06,National Average,National Average,37.56
Afghanistan,2020,06,2020-06,National Average,National Average,38.24
Afghanistan,2020,06,2020-06,National Average,National Average,45.07
Afghanistan,2020,06,2020-06,National Average,National Average,6.99
Afghanistan,2020,06,2020-06,National Average,National Average,11.76
Afghanistan,2020,06,2020-06,National Average,National Average,7.04
Afghanistan,2020,06,2020-06,National Average,National Average,17.36
Afghanistan,2020,06,2020-06,National Average,National Average,20.59
Afghanistan,2020,06,2020-06,National Average,National Average,15.49
Afghanistan,2020,06,2020-06,National Average,National Average,16.58
Afghanistan,2020,06,2020-06,National Average,National Average,11.76
Afghanistan,2020,06,2020-06,National Average,National Average,12.68
Afghanistan,2020,06,2020-06,National Average,National Average,0.26
Afghanistan,2020,06,2020-06,National Average,National Average,1.3
Afghanistan,2020,06,2020-06,National Average,National Average,0.7
Afghanistan,2020,06,2020-06,National Average,National Average,2.04
Afghanistan,2020,06,2020-06,National Average,National Average,0.91
Afghanistan,2020,06,2020-06,National Average,National Average,2.37
Afghanistan,2020,06,2020-06,National Average,National Average,-49.35
Afghanistan,2020,06,2020-06,National Average,National Average,-40.74
Afghanistan,2020,06,2020-06,National Average,National Average,-48.83
Afghanistan,2020,06,2020-06,National Average,National Average,50.0
Afghanistan,2020,06,2020-06,National Average,National Average,61.76
Afghanistan,2020,06,2020-06,National Average,National Average,40.85
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),9.47
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),-38.64
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),77.81
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),13.7
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),61.14
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),18.11
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),29.45
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),31.7
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),10.52
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),1.35
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),4.37
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),5.93
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),8.36
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),73.58
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),5.23
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),4.4
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),-21.56
Algeria,2020,08,2020-08,Firm Size,Size: Large (100+),61.76
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),6.56
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),-44.6
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),78.75
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),22.47
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),65.74
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),26.87
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),22.38
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),28.1
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),16.83
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),0.84
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),2.33
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),7.48
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),24.97
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),54.13
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),3.02
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),1.39
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),-24.98
Algeria,2020,08,2020-08,Firm Size,Size: Medium (20-99),57.91
